index,real_sentence,fake_sentence
1503,"In addition, the representatives from organizations without professional and administrative staffs believed that an even more difficult challenge was encouraging volunteers to donate additional time to perform the administrative tasks required to organize meetings and further facilitate information sharing.","In addition, the representatives from organizations without amateur and administrative staffs believed that an even more easy challenge was encouraging volunteers to donate additional time to perform the administrative tasks required to organize meetings and further facilitate information sharing."
1504,you know it's i mean i it it should probably be a big issue you know because it's it's doing a lot of damage but i it's something you know i don't think many people really think about it because it's nothing they i don't think we really have too much control over it,you know it's i mean i it it should probably be a little issue you know because it's it's doing a lot of damage but i it's something you know i don't think few people really think about it because it's nothing they i don't think we really have too little control over it
1505,"On the hill to the south of the square stands the Archaeological Museum, whose superb collection of antiquities includes statues of Poseidon and Demeter that once stood in the Agora of ancient Smyrna.","On the hill to the south of the square stands the Archaeological Museum, whose superb collection of antiquities includes statues of Poseidon and Demeter that once stood in the Agora of ancient Smyrna."
1506,"The final four of the day were tied at 4 under par going down the back nine, and it was obvious, watching them labor away, unsmiling, that this was just an endurance test to see who could avoid crashing and disintegrating on national television.","The final four of the day were tied at 4 under par going down the advance nine, and it was unobvious, watching them labor away, unsmiling, that this was just an endurance test to see who could avoid crashing and disintegrating on international television."
1507,how are things in your area in that respect,how are things in your area in that respect
1508," Oh, listen, I was so pregnant during those years.","Oh, listen, I was so nonpregnant during those years."
1509,"Said to be the world's largest oil painting, 22 by 7 m (72 by 23 ft), it was done, with the help of son Domenico, when the artist was 70.","Said to be the world's little oil painting, 22 by 7 m( 72 by 23 ft), it was done, with the help of son Domenico, when the artist was 70."
1510,as Mexicans yes that that,as Mexicans yes that that
1511,The environment is also affected by the manner in which the agency delegates authority and responsibility throughout the organization.,The environment is also affected by the manner in which the agency delegates authority and responsibility throughout the organization.
1512,corpus well uh South Padre is on down the bend,corpus well uh South Padre is on down the bend
1513,"Small shrines lead from the hall, honoring local gods, and a temple to Imhotep, the great architect of the pyramids who was deified in the centuries after his death.","big shrines lead from the hall, honoring express gods, and a temple to Imhotep, the great architect of the pyramids who was deified in the centuries after his death."
